,Baseline (Statutory),2020-23 Crisis & Average 6% (Actuarial),2020-23 + 2035-38 Crisis & Average 6% (Actuarial),2020-23 Crisis & Average 6% & 5-Year ER Contribution Freeze (Actuarial),2020-23 + 2035-38 Crisis & Average 6% & 5-Year ER Contribution Freeze (Actuarial),6% Constant Annual Return (Actuarial)
2020,10.2%,10.4%,10.4%,10.4%,10.4%,10.4%
2021,10.0%,10.5%,10.5%,10.5%,10.5%,10.5%
2022,10.0%,16.4%,16.4%,10.2%,10.2%,10.2%
2023,10.0%,20.1%,20.1%,9.9%,9.9%,9.9%
2024,10.0%,19.4%,19.4%,9.7%,9.7%,9.7%
2025,10.0%,20.2%,20.2%,9.4%,9.4%,9.4%
2026,10.0%,20.8%,20.8%,9.2%,9.2%,9.2%
2027,10.0%,21.4%,21.3%,24.7%,24.5%,19.3%
2028,10.0%,21.4%,21.2%,24.6%,24.4%,19.5%
2029,10.0%,21.3%,21.0%,24.6%,24.3%,19.6%
2030,10.0%,21.3%,20.9%,24.5%,24.2%,19.8%
2031,10.0%,21.3%,20.6%,24.5%,24.0%,19.9%
2032,10.0%,21.3%,20.4%,24.5%,23.8%,20.0%
2033,10.0%,21.2%,20.1%,24.4%,23.5%,20.2%
2034,10.0%,21.2%,19.9%,24.4%,23.3%,20.3%
2035,10.0%,21.2%,19.6%,24.4%,23.1%,20.5%
2036,10.0%,21.1%,19.3%,24.3%,22.8%,20.6%
2037,10.0%,21.1%,19.0%,24.3%,22.5%,20.7%
2038,10.0%,21.0%,22.1%,24.2%,25.2%,20.8%
2039,10.0%,21.0%,21.6%,24.2%,24.8%,21.0%
2040,10.0%,21.0%,22.5%,24.2%,25.6%,21.1%
2041,10.0%,20.9%,23.0%,24.1%,26.0%,21.2%
2042,10.0%,20.8%,23.2%,24.0%,26.2%,21.3%
2043,10.0%,20.8%,23.1%,24.0%,26.0%,21.4%
2044,10.0%,20.8%,23.0%,23.9%,25.9%,21.5%
2045,10.0%,20.7%,22.8%,23.9%,25.7%,21.6%
2046,10.0%,20.7%,22.5%,23.8%,25.5%,21.8%
2047,10.0%,20.7%,22.3%,23.8%,25.3%,21.9%
2048,10.0%,20.6%,22.0%,23.8%,25.0%,22.0%
2049,10.0%,20.6%,21.8%,23.8%,24.8%,22.2%
2050,10.0%,20.6%,21.5%,23.7%,24.5%,22.3%
