year,mva,ava,arr
2001,-11.1%,9.50%,8.00%
2002,-8.8%,3.30%,8.00%
2003,2.7%,0.10%,8.00%
2004,15.3%,0.80%,8.00%
2005,9.6%,1.10%,8.00%
2006,12.0%,6.40%,8.00%
2007,16.7%,11.60%,8.00%
2008,-6.0%,9.30%,8.00%
2009,-17.7%,2.20%,8.00%
2010,17.7%,2.00%,8.00%
2011,19.0%,4.20%,7.75%
2012,1.6%,2.20%,7.75%
2013,10.8%,5.60%,7.75%
2014,14.2%,12.00%,7.75%
2015,3.7%,9.70%,7.75%
2016,3.1%,6.70%,7.75%
2017,11.8%,8.20%,7.25%
2018,7.2%,7.50%,7.25%
2019,8.1%,6.60%,7.25%
2020,-0.97%,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Average Value Returns,
,,,Actuarial
,,25-year,
,,20-year,#REF!
,,15-year,#REF!
,,10-year,#REF!
,,5-year,#REF!
